primaryImage,Medium
https://images.metmuseum.org/CRDImages/ep/original/DP145898.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP320090.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/rl/original/DP-19531-102.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ep/original/DP169647.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap15.30.64.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT301874.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT9199.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP145921.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP259114.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP285749.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP145913.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap24.89.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT75.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DT704.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ep/original/DP-17630-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT218107.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-19283-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DP-17279-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP295718.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP257598.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT228197.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-17460-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP147592.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap1977.258.3.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap00.17.2.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT10421.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/as/original/DT6831.jpg,"Ink, opaque watercolor, and gold on paper"
https://images.metmuseum.org/CRDImages/ep/original/DT4034.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP130999.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT235903.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep90.30.bw.R.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP243354.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT8855.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP162152.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT282013.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP320094.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1572.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/LC-29_100_599.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT16.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP143169.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap10.54.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP320103.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep71.96.R.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP-19711-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-1419-01.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1422.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP162145.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1860.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP143203.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1986.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP145948.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP124091.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DT3108.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap30.49.7.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-13588-001.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/DT2080.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP169387.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT236872.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DT707.jpg,Tempera and gold on wood
https://images.metmuseum.org/CRDImages/ep/original/DP123933.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP352743.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP243839.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP164827.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep45.94.2.bw.R.jpg,Oil on copper
https://images.metmuseum.org/CRDImages/ep/original/DT236256.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap69.22.1.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/IA-Fontebuoni.jpg,Oil on copper
https://images.metmuseum.org/CRDImages/ep/original/ep07.245.2.bw.R.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-20750-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP221248.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DT3157.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP146460.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT293615.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP120419.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP361123.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP-647-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-19552-001.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/as/original/14_140_17_F_sf.jpg,Unmounted shikisi leaf; ink and color on silk
https://images.metmuseum.org/CRDImages/ep/original/DT1863.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-19775-001.jpg,Oil on copper
https://images.metmuseum.org/CRDImages/ad/original/ap54.74.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP162310.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-19017-001.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP168811.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP282434.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/ep87.15.110.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT236857.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT26.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP147601.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP105662.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP-20595-001.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/EP1435.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap95.5.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP143182.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/DT5671.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/as/original/14_140_22_F_sf.jpg,Unmounted shikisi leaf; ink and color on silk
https://images.metmuseum.org/CRDImages/ep/original/DT2117.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-687-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP360943.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT292812.jpg,Tempera on wood
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-039.jpg,Oil on slate paper
https://images.metmuseum.org/CRDImages/rl/original/DT3063.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1976.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DP-15281-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1947.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP298059.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT5509.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap07.111.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT8841.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap1972.263.2.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap73.5.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/as/original/DP156120.jpg,Ink and opaque watercolor on paper
https://images.metmuseum.org/CRDImages/rl/original/DP328376.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ad/original/DP105035.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP368622.jpg,Tempera and gold on wood
https://images.metmuseum.org/CRDImages/rl/original/DT3026.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ep/original/ep71.11.R.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT2165.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-14936-031.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT2078.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP146500.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/as/original/DP152302.jpg,Ink and opaque watercolor on paper
https://images.metmuseum.org/CRDImages/ad/original/DT73.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-19499-001.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ad/original/DT2639.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap74.42.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT253717.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep1978.301.7.bw.R.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP336526.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP-14936-011.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap91.32.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap00.6.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap66.242.25.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT332111.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP123839.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP246969.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT2776.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-20213-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap41.18.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP143185.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-20209-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-14286-015.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT887.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1978.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/532.jpg,Tempera and gold on wood
https://images.metmuseum.org/CRDImages/ep/original/ep32.100.85.bw.R.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-15730-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/EP1004.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT11627.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/as/original/DP156167.jpg,Ink and opaque watercolor on paper
https://images.metmuseum.org/CRDImages/ep/original/DT280207.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP-18164-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT11332.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep51.5.bw.R.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP368944.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/as/original/14_140_8_F_sf.jpg,Unmounted shikisi leaf; ink and color on silk
https://images.metmuseum.org/CRDImages/ep/original/DT4532.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/ep87.15.61.bw.R.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP276130.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1043.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP151000.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-14936-015.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/EP468.jpg,Tempera on wood
https://images.metmuseum.org/CRDImages/rl/original/DT3047.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ad/original/ap41.14.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep48.187.731.bw.R.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP280381.jpg,Oil on linden
https://images.metmuseum.org/CRDImages/ep/original/DP-16688-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP214439.jpg,"Oil on canvas, transferred from wood"
https://images.metmuseum.org/CRDImages/rl/original/DP328373.jpg,Tempera and gold on wood
https://images.metmuseum.org/CRDImages/ep/original/DP170288.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT395.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT2062.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP143172.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-18296-023.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap25.110.42.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/LC-2021_10_1.tff.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT357259.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT7839.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP134149.jpg,Tempera and gold on wood
https://images.metmuseum.org/CRDImages/ad/original/ap67.187.130.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/ep32.100.45.bw.R.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT11822.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP159769.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/rl/original/DP366058.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ma/original/sf43.46.18.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep22.60.63.bw.R.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP145934.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP290289.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap09.72.1.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/as/original/DP153193.jpg,Ink and opaque watercolor on paper
https://images.metmuseum.org/CRDImages/ep/original/ep71.93.R.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap94.23.3.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP312862.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/ep43.98.2.bw.R.jpg,Tempera on wood
https://images.metmuseum.org/CRDImages/ad/original/ap04.29.3.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP123846.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP277234.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT2075.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap38.153.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT215405.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap52.199.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DP318245.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/rl/original/DP-14827-001.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/ep/original/DP-17311-001.jpg,Tempera on wood
https://images.metmuseum.org/CRDImages/ad/original/APS473.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT236254.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-14936-049.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-17631-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-14274-003.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-019.jpg,Oil on slate paper
https://images.metmuseum.org/CRDImages/as/original/DT5379.jpg,Ink and opaque watercolor on paper
https://images.metmuseum.org/CRDImages/ep/original/DP-1255-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1868.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap07.68.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1925.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP169474.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP124057.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1867.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap08.237.3.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap67.187.206.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-021.jpg,Oil on slate paper
https://images.metmuseum.org/CRDImages/ad/original/ap00.17.3.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP169403.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/181609.jpg,Oil on glass
https://images.metmuseum.org/CRDImages/ad/original/ap81.13.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DP-600-001.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP169610.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DT3136.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/ap29.148.2.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP274261.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT1931.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT214418.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP143208.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP162169.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT9508.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP136267.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT1567.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-944-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap1985.354.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP264496.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT1395.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP146485.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT1862.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DP226882.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/as/original/DT4006.jpg,"Ink, opaque watercolor, and gold on paper"
https://images.metmuseum.org/CRDImages/ep/original/DP-14108-001.jpg,Tempera and gold on wood
https://images.metmuseum.org/CRDImages/ep/original/ep25.110.46.R.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-14201-039.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT862.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DP328377.jpg,"Tempera on wood, gold ground"
https://images.metmuseum.org/CRDImages/rl/original/DP328375.jpg,Tempera and gold on wood
https://images.metmuseum.org/CRDImages/ad/original/DP205027.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/DT95.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP-20099-001.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP159333.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT1552.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT220319.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP159891.jpg,Tempera on wood
https://images.metmuseum.org/CRDImages/ep/original/DP-1019-01.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/rl/original/DT3111.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/22V_163R4M.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP146446.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/SF2007_49_349.jpg,Oil on copper
https://images.metmuseum.org/CRDImages/ep/original/DP243725.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP148739.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1958.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP143168.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/APS530.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/DT2057.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP145400.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP169566.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP353256.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap06.195.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT9351.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/256657.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DP162138.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT11343.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT208762.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DP168994.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT5275.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ep/original/DT1556.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ep/original/DT1381.jpg,Tempera on wood
https://images.metmuseum.org/CRDImages/ep/original/DP312834.jpg,Oil on copper
https://images.metmuseum.org/CRDImages/ad/original/ap54.90.38.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap96.25.jpg,Oil on wood
https://images.metmuseum.org/CRDImages/ad/original/DT222199.jpg,Oil on canvas
https://images.metmuseum.org/CRDImages/ad/original/ap28.198.1.jpg,Oil on canvas
