primaryImage,Medium
https://images.metmuseum.org/CRDImages/as/original/DP122834.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122835.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122836.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122837.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122839.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122840.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122841.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122842.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122843.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122844.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122845.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122846.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122853.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122854.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122855.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122856.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122857.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122858.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122859.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122860.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122861.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122862.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122863.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122864.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122865.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122866.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122867.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122868.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122869.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122870.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122871.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122872.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122873.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122874.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP130287.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144654.jpg,Diptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124145.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124146.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124162.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144655.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144657.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144658.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144611.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144612.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144614.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124217.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP135638.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144598.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP135573.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP135639.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP143112.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144582.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144583.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144584.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP135602.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP114902.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP119523.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP114903.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144637.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144638.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141320.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141321.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132714.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132715.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132716.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132717.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141323.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132718.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141324.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123627.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136905.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123628.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145682.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145684.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145673.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145674.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145676.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144543.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136931.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124548.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP130231.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP130232.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP130178.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123661.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP146808.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP143701.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP146809.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP146810.jpg,Triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP149173.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP144615.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124464.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141353.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP135539.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136932.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124447.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123645.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124567.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123662.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123646.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136933.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123555.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124465.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121484.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP114143.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP114144.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP114145.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121486.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121489.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121490.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121494.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121495.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121496.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121497.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121499.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121500.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121502.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121515.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121516.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121517.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121518.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121519.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121520.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP121521.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122158.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122159.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122160.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132720.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132721.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132722.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132723.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132724.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132725.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132726.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132727.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141329.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132728.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132729.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132730.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132731.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141330.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141331.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141332.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132732.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141333.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141334.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP141335.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123647.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP134641.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136907.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136908.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP134642.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136910.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP134643.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136911.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP134644.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136912.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136913.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136889.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP134645.jpg,One sheet of a triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP134646.jpg,One sheet of a triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP134647.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136891.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136867.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136869.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136870.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136892.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136894.jpg,One sheet of a triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136895.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136896.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136897.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136872.jpg,One sheet of a triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136898.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP151590.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136901.jpg,One sheet of a triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136902.jpg,One sheet of a triptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP136873.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP132733.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP130288.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP145650.jpg,Diptych of woodblock prints; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124251.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123697.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123698.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP114146.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122174.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122175.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122176.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122177.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122178.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122179.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122180.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122181.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122183.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122184.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122185.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122186.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122188.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122190.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122191.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122196.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122197.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122198.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122199.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122200.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122201.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122202.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122203.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122204.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122205.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122206.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122207.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122208.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122209.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122210.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122211.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122212.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122217.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122218.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122219.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122220.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122221.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122222.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122223.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122224.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122225.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122226.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122227.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122228.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122229.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122230.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122231.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122232.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122233.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122234.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP122235.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP123275.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124549.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124551.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124552.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124553.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124554.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124555.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124556.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124557.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124558.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124559.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124560.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124498.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124499.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124502.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124503.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124505.jpg,Woodblock print; ink and color on paper
https://images.metmuseum.org/CRDImages/as/original/DP124506.jpg,Woodblock print; ink and color on paper
